date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:18	630975/630975	---M-Z	200	added ('OK')	text/html	etag:%229a0bf-645b2f44-4ac8d910584dda03;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/index.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/index.html	(from )
13:49:18	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62b46697-6cfecb0e4ebe319b;gz%22	https://html.weblearnbd.net/robots.txt		(from )
13:49:19	2170/2170	---M--	200	added ('OK')	image/png	etag:%2287a-6437c1f6-18095cd327a5238;;;%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/img/logo/favicon.png	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/img/logo/favicon.png	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:19	194901/194901	---M-Z	200	added ('OK')	text/css	etag:%222f955-6437c1f6-6c00c2d9849b39f;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/css/bootstrap.css	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/css/bootstrap.css	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:19	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-6437c1f6-fc51fc32a4c51e1a;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/css/animate.css	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/css/animate.css	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:19	15806/15806	---M-Z	200	added ('OK')	text/css	etag:%223dbe-6437c1f6-62da4dd8626fba26;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/css/swiper-bundle.css	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/css/swiper-bundle.css	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:20	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-6437c1f6-33e8463069b75815;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/css/slick.css	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/css/slick.css	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:20	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-6437c1f6-949a9ae1c9025930;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/css/magnific-popup.css	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/css/magnific-popup.css	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:20	2351/2351	---M-Z	200	added ('OK')	text/css	etag:%2292f-6437c1f6-12abaf8bd6a99990;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/css/flaticon_shofy.css	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/css/flaticon_shofy.css	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:21	8364/8364	---M-Z	200	added ('OK')	text/css	etag:%2220ac-6437c1f6-1c48552693e8d52;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/css/spacing.css	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/css/spacing.css	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
